parameter,description,units,baseline,lower,upper,class,source,source_type,rationale,transformed,simulation_role,uncertainty,notes
Rs4_0,baseline surface CXCR4,molecules/cell,20000.0,5000.0,100000.0,literature,order-of-magnitude: CXCR4 is readily detected and often more abundant than CCR5 on resting/naive T-cell subsets (Bleul et al. Nature 1996 PMID:8559242; Signoret 1997 used T-cell lines),human/in vitro,Not a single primary-cell mean. Wide range on purpose.,no,fixed,high,Do not pretend 20000 is a measured universal constant.
K_R5,Hill half-max CCR5 density for infection,molecules/cell,1500.0,700.0,20000.0,literature,Platt et al. J Virol 1998 PMID:9525605: with high CD4 700-2000 CCR5/cell already maximal; with low CD4 ~1e4-2e4 required,in vitro HeLa-CD4/CCR5,v1 baseline maps the HIGH-CD4 saturation window because targets are CD4+ T cells. Alternative 10000 is Reynes's reading of Platt low-CD4 threshold.,no,fixed,mapping,Hill coefficient was not fitted to Platt foci counts.
h_R5,Hill coefficient CCR5 infectability,dimensionless,2.0,1.0,4.0,literature,qualitative saturating/threshold shape from Platt 1998; exponent is a mapping,in vitro mapping,Not a published fit,no,sweep,high,Class A shape constraint; exponent is weakly constrained.
K_R4,Hill half-max CXCR4 density for infection,molecules/cell,3000.0,700.0,20000.0,literature,analogous saturating map; NO CXCR4 equivalent of Platt 1998 was used as a fake citation,assumption informed by CCR5 literature,High uncertainty by design,no,sweep,high,Must not be cited as if measured for CXCR4.
h_R4,Hill coefficient CXCR4 infectability,dimensionless,2.0,1.0,4.0,literature,same mapping philosophy as h_R5,assumption,Weakly constrained,no,sweep,high,
k_int0_R5,constitutive CCR5 internalization,1/day,2.218,1.848,2.773,literature,Signoret et al. JCB 2000 PMID:11121442 constitutive CCR5 content t1/2 6-9 h in CHX-treated CCR5-CHO,in vitro CHO,Mapped as constitutive internalization rate ln(2)/7.5h. Paper measured total protein turnover not only surface endocytosis.,yes,fixed,mapping,Train dataset for trafficking (Level 2 calibration).
k_rec0_R5,CCR5 recycling rate,1/day,8.318,4.159,16.636,literature,Signoret 2000: after RANTES removal CCR5 recycles; quantitative t1/2 mapped to 2 h (range 1-4 h) as a held-in mapping with high uncertainty,in vitro CHO,Not numerically optimized to both Signoret 2000 timepoints and an independent test set,yes,fixed,high,Test: qualitative recovery after ligand removal (do not retune to force a perfect overlay).
k_deg_R5,internalized CCR5 degradation,1/day,2.218,1.848,2.773,literature,same 6-9 h total CCR5 turnover (Signoret 2000),in vitro CHO,If most receptors recycle k_deg < k_rec as implemented,yes,fixed,mapping,
k_int0_R4,constitutive CXCR4 internalization,1/day,14.4,7.2,28.8,literature,Signoret et al. JCB 1997 PMID:9348282: 1.0% of surface pool per minute on SupT1/BC7,in vitro T-cell lines,0.01/min * 1440 min/day = 14.4/day,yes,fixed,reported,Train dataset for CXCR4 trafficking.
k_rec0_R4,CXCR4 recycling rate,1/day,11.09,5.545,27.73,literature,Signoret 1997: CXCR4 recycles after PMA removal; t1/2 mapped to 1.5 h (range ~0.6-3 h) because the paper does not report a single recovery half-time,in vitro T-cell lines,1-3 h recovery is a mapping of 'hours-scale return' not a quoted statistic from Fig. X,yes,fixed,high,Do not cite 1.5 h as if Signoret tabulated it.
k_deg_R4,internalized CXCR4 degradation,1/day,2.0,0.5,6.0,literature,not directly measured in Signoret 1997; set slower than recycling so a recycling pool exists,assumption informed by recycling observation,Weak,no,fixed,high,
k_int_lig_R5,added internalization under strong CCR5 ligand (Run 0B),1/day,66.36,33.0,200.0,literature,Signoret 2000 qualitative 'rapid' RANTES internalization; mapped as 50% in 15 min (ln2/0.0104 d). NOT a number printed in the paper.,in vitro mapping,Validation stimulus not a chronic physiological rate,yes,scenario,high,Held-out from being optimized against CXCR4 SDF-1 numbers.
k_int_lig_R4,added internalization under SDF-1 (Run 0C),1/day,185.2,100.0,300.0,literature,Signoret 1997 Fig 8A: 50% down-modulation in 5 min => k_tot=ln2/(5/1440)=199.6/day; subtract constitutive 14.4,in vitro T-cell lines,Train mapping for stimulated CXCR4,yes,scenario,reported,
t_half_A,A-memory half-life,day,0.08333,0.003472,2.0,engineered,none — circuit does not exist,synthetic,Exploratory log-range 5 min to 48 h. Baseline 2 h is the log-range midpoint-ish for running code NOT a biological measurement.,no,sweep,unknown,PAPER PREDICTION: where does discrimination work?
T_A,Hill threshold for A in coincidence gate,dimensionless,0.35,0.05,0.8,engineered,none,synthetic,Unknown; exploratory,no,sweep,unknown,
n_A,Hill coefficient for A,dimensionless,3.0,1.0,8.0,engineered,none,synthetic,Unknown,no,sweep,unknown,
tau_B,HIV-confirmation delay,day,0.25,0.0,3.0,engineered,none,synthetic,Sweep 0-72 h as registered. Baseline 6 h is not a measured diagnostic delay.,no,sweep,unknown,PAPER PREDICTION: tau_B critical
t_half_B,B signal half-life,day,0.5,0.04,3.0,engineered,none,synthetic,Exploratory,no,sweep,unknown,
t_half_C,C suppressor half-life,day,0.25,0.04,2.0,engineered,none,synthetic,Exploratory,no,sweep,unknown,
k_f,C formation rate scale,1/day,20.0,2.0,200.0,engineered,none,synthetic,Scaled so C can approach O(1) when A and B are high,no,sweep,unknown,
k_r,C dissociation,1/day,5.0,0.5,50.0,engineered,none,synthetic,Unknown,no,sweep,unknown,
K_B,infected-cell density for half-max B production,cells/mL,1000.0,10.0,100000.0,engineered,none,synthetic,Phenomenological HIV recognition not a particular TCR/CAR affinity,no,sweep,unknown,
n_B,Hill coefficient for B production vs I,dimensionless,2.0,1.0,6.0,engineered,none,synthetic,Unknown,no,sweep,unknown,
alpha_B,max B production rate,1/day,8.0,1.0,40.0,engineered,none,synthetic,Unknown,no,sweep,unknown,
eta,HIV-encounter to A input scale,mL*day/cells,5.0e-06,1.0e-07,1.0e-04,engineered,none,synthetic,Scales encounter rate into dimensionless A input. Not a measured sensor gain.,no,sweep,unknown,
k_intC,C-dependent extra internalization,1/day,80.0,0.0,400.0,engineered,none,synthetic,Fast effector arm. Required magnitude is a prediction.,no,sweep,unknown,
k_recC,C-dependent recycling inhibition (dimensionless gain),dimensionless,8.0,0.0,40.0,engineered,none,synthetic,k_rec = k_rec0/(1+k_recC*C),no,sweep,unknown,
k_synC,C-dependent synthesis suppression gain,dimensionless,8.0,0.0,40.0,engineered,none,synthetic,Slow arm k_syn = k_syn0/(1+k_synC*C). User k_rep_C.,no,sweep,unknown,
f_E,engineered cell fraction,dimensionless,1.0,0.1,1.0,scenario,none,implementation,Coverage/engraftment stress test,no,sweep,unknown,PAPER PREDICTION: f_E critical
V_inoculum,initial free virus in challenged tropism,virions/mL,10.0,0.001,1000.0,scenario,none,challenge,Not a measured transmitted-founder inoculum in this compartment,no,scenario,high,
P5,scenario-specific CCR5-associated route forcing (effective),dimensionless,0.02,0.0,2.0,scenario,none,challenge,Effective challenge input only; not calibrated to a measured chemokine concentration, receptor occupancy, or physiological scale,no,scenario,unknown,
P4,physiological CXCR4 activity (dimensionless),dimensionless,0.02,0.0,2.0,scenario,none,challenge,Same,no,scenario,unknown,
t_end,default integration horizon,day,40.0,10.0,90.0,scenario,none,protocol,Run 0 uses shorter horizons; do not start with 90-day chronic infection,no,scenario,n/a,Registered 40 d for headline AUC.
rtol,relative solver tolerance,dimensionless,1.0e-06,1.0e-08,1.0e-04,numerical,none,solver,LSODA/BDF,no,fixed,n/a,
atol,absolute solver tolerance,dimensionless,1.0e-08,1.0e-12,1.0e-06,numerical,none,solver,LSODA/BDF,no,fixed,n/a,
master_seed,RNG master seed,integer,20260827,20260827,20260827,scenario,pre-registered in PROTOCOL.md,protocol,Child seeds derived; never cherry-pick seeds after seeing results,no,fixed,n/a,
